"","simID","simLabel","scenario","procedure","period","t1","t2","statistic","value"
"1","Sim","Curr-Curr","Curr","Curr","Short",65,71,"medAvgDep",0.532618337894326
"2","Sim","Curr-Curr","Curr","Curr","Short",65,71,"Q1AvgDep",0.315373340346864
"3","Sim","Curr-Curr","Curr","Curr","Short",65,71,"Q2AvgDep",0.771020590365756
"4","Sim","Curr-Curr","Curr","Curr","Short",65,71,"medFinalDep",0.641946520513878
"5","Sim","Curr-Curr","Curr","Curr","Short",65,71,"Q1finalDep",0.298240486315348
"6","Sim","Curr-Curr","Curr","Curr","Short",65,71,"Q2finalDep",1.12374125548898
"7","Sim","Curr-Curr","Curr","Curr","Short",65,71,"medLowDep",0.44384210166361
"8","Sim","Curr-Curr","Curr","Curr","Short",65,71,"Q1LowDep",0.173560443010514
"9","Sim","Curr-Curr","Curr","Curr","Short",65,71,"Q2LowDep",0.460993796906637
"10","Sim","Curr-Curr","Curr","Curr","Short",65,71,"medAAV",23.6019410188155
"11","Sim","Curr-Curr","Curr","Curr","Short",65,71,"Q1AAV",17.9158590427398
"12","Sim","Curr-Curr","Curr","Curr","Short",65,71,"Q2AAV",37.1346341974165
"13","Sim","Curr-Curr","Curr","Curr","Short",65,71,"medAvgCatch",8.16733267384951
"14","Sim","Curr-Curr","Curr","Curr","Short",65,71,"Q1AvgCatch",5.56809367490537
"15","Sim","Curr-Curr","Curr","Curr","Short",65,71,"Q2AvgCatch",10.9076104940927
"16","Sim","Curr-Curr","Curr","Curr","Short",65,71,"medLowCatch",5.45375951065077
"17","Sim","Curr-Curr","Curr","Curr","Short",65,71,"Q1LowCatch",0
"18","Sim","Curr-Curr","Curr","Curr","Short",65,71,"Q2LowCatch",7.75691917004123
"19","Sim","Curr-Curr","Curr","Curr","Short",65,71,"medProbCritBmsy",0.0228571428571429
"20","Sim","Curr-Curr","Curr","Curr","Short",65,71,"medProbCautBmsy",0.0628571428571428
"21","Sim","Curr-Curr","Curr","Curr","Short",65,71,"medProbHealBmsy",0.914285714285714
"22","Sim","Curr-Curr","Curr","Curr","Short",65,71,"medProbCritB0",0.832857142857143
"23","Sim","Curr-Curr","Curr","Curr","Short",65,71,"medProbCautB0",0.111428571428571
"24","Sim","Curr-Curr","Curr","Curr","Short",65,71,"medProbHealB0",0.0557142857142857
"25","Sim","Curr-Curr","Curr","Curr","Short",65,71,"probFtGtFmsy",0.0528571428571429
"26","Sim","Curr-Curr","Curr","Curr","Short",65,71,"yearAtDepProb",NA
"27","Sim","Curr-Curr","Curr","Curr","Short",65,71,"probAtDepYear",NA
"28","Sim","Curr-Curr","Curr","Curr","Short",65,71,"depAtYearProb",NA
"29","Sim","Curr-Curr","Curr","Curr","Short",65,71,"probGteDmsy",NA
"30","Sim","Curr-Curr","Curr","Curr","Short",65,71,"probGteLimit",NA
"31","Sim","Curr-Curr","Curr","Curr","Short",65,71,"omittedReps",NA
"32","Sim","Curr-Curr","Curr","Curr","Medium",72,78,"medAvgDep",0.812217805018493
"33","Sim","Curr-Curr","Curr","Curr","Medium",72,78,"Q1AvgDep",0.379408552508362
"34","Sim","Curr-Curr","Curr","Curr","Medium",72,78,"Q2AvgDep",1.48642891033879
"35","Sim","Curr-Curr","Curr","Curr","Medium",72,78,"medFinalDep",0.698344773600646
"36","Sim","Curr-Curr","Curr","Curr","Medium",72,78,"Q1finalDep",0.191542589854269
"37","Sim","Curr-Curr","Curr","Curr","Medium",72,78,"Q2finalDep",1.51853874534657
"38","Sim","Curr-Curr","Curr","Curr","Medium",72,78,"medLowDep",0.4670033848901
"39","Sim","Curr-Curr","Curr","Curr","Medium",72,78,"Q1LowDep",0.145119011642838
"40","Sim","Curr-Curr","Curr","Curr","Medium",72,78,"Q2LowDep",0.924622285414114
"41","Sim","Curr-Curr","Curr","Curr","Medium",72,78,"medAAV",21.2685250991916
"42","Sim","Curr-Curr","Curr","Curr","Medium",72,78,"Q1AAV",12.2905316617053
"43","Sim","Curr-Curr","Curr","Curr","Medium",72,78,"Q2AAV",36.0050599529217
"44","Sim","Curr-Curr","Curr","Curr","Medium",72,78,"medAvgCatch",13.4058520879868
"45","Sim","Curr-Curr","Curr","Curr","Medium",72,78,"Q1AvgCatch",7.53223281484447
"46","Sim","Curr-Curr","Curr","Curr","Medium",72,78,"Q2AvgCatch",21.4775639535452
"47","Sim","Curr-Curr","Curr","Curr","Medium",72,78,"medLowCatch",8.39851245077731
"48","Sim","Curr-Curr","Curr","Curr","Medium",72,78,"Q1LowCatch",3.76350964218686
"49","Sim","Curr-Curr","Curr","Curr","Medium",72,78,"Q2LowCatch",14.4531081376808
"50","Sim","Curr-Curr","Curr","Curr","Medium",72,78,"medProbCritBmsy",0.00857142857142857
"51","Sim","Curr-Curr","Curr","Curr","Medium",72,78,"medProbCautBmsy",0.0628571428571428
"52","Sim","Curr-Curr","Curr","Curr","Medium",72,78,"medProbHealBmsy",0.928571428571429
"53","Sim","Curr-Curr","Curr","Curr","Medium",72,78,"medProbCritB0",0.424285714285714
"54","Sim","Curr-Curr","Curr","Curr","Medium",72,78,"medProbCautB0",0.227142857142857
"55","Sim","Curr-Curr","Curr","Curr","Medium",72,78,"medProbHealB0",0.348571428571429
"56","Sim","Curr-Curr","Curr","Curr","Medium",72,78,"probFtGtFmsy",0.112857142857143
"57","Sim","Curr-Curr","Curr","Curr","Medium",72,78,"yearAtDepProb",NA
"58","Sim","Curr-Curr","Curr","Curr","Medium",72,78,"probAtDepYear",NA
"59","Sim","Curr-Curr","Curr","Curr","Medium",72,78,"depAtYearProb",NA
"60","Sim","Curr-Curr","Curr","Curr","Medium",72,78,"probGteDmsy",NA
"61","Sim","Curr-Curr","Curr","Curr","Medium",72,78,"probGteLimit",NA
"62","Sim","Curr-Curr","Curr","Curr","Medium",72,78,"omittedReps",NA
"63","Sim","Curr-Curr","Curr","Curr","Long",65,84,"medAvgDep",0.672439670428469
"64","Sim","Curr-Curr","Curr","Curr","Long",65,84,"Q1AvgDep",0.443393372726869
"65","Sim","Curr-Curr","Curr","Curr","Long",65,84,"Q2AvgDep",0.943721357905437
"66","Sim","Curr-Curr","Curr","Curr","Long",65,84,"medFinalDep",0.523679238529119
"67","Sim","Curr-Curr","Curr","Curr","Long",65,84,"Q1finalDep",0.170870979321272
"68","Sim","Curr-Curr","Curr","Curr","Long",65,84,"Q2finalDep",1.2484583925815
"69","Sim","Curr-Curr","Curr","Curr","Long",65,84,"medLowDep",0.166718871056941
"70","Sim","Curr-Curr","Curr","Curr","Long",65,84,"Q1LowDep",0.0571421470447102
"71","Sim","Curr-Curr","Curr","Curr","Long",65,84,"Q2LowDep",0.440464385884354
"72","Sim","Curr-Curr","Curr","Curr","Long",65,84,"medAAV",24.5402893071748
"73","Sim","Curr-Curr","Curr","Curr","Long",65,84,"Q1AAV",18.8181235023286
"74","Sim","Curr-Curr","Curr","Curr","Long",65,84,"Q2AAV",33.9171908449858
"75","Sim","Curr-Curr","Curr","Curr","Long",65,84,"medAvgCatch",10.6676429149085
"76","Sim","Curr-Curr","Curr","Curr","Long",65,84,"Q1AvgCatch",7.77072213581927
"77","Sim","Curr-Curr","Curr","Curr","Long",65,84,"Q2AvgCatch",14.0047878920103
"78","Sim","Curr-Curr","Curr","Curr","Long",65,84,"medLowCatch",2.9159866235059
"79","Sim","Curr-Curr","Curr","Curr","Long",65,84,"Q1LowCatch",0
"80","Sim","Curr-Curr","Curr","Curr","Long",65,84,"Q2LowCatch",6.04068202840436
"81","Sim","Curr-Curr","Curr","Curr","Long",65,84,"medProbCritBmsy",0.0405
"82","Sim","Curr-Curr","Curr","Curr","Long",65,84,"medProbCautBmsy",0.1035
"83","Sim","Curr-Curr","Curr","Curr","Long",65,84,"medProbHealBmsy",0.856
"84","Sim","Curr-Curr","Curr","Curr","Long",65,84,"medProbCritB0",0.6355
"85","Sim","Curr-Curr","Curr","Curr","Long",65,84,"medProbCautB0",0.1585
"86","Sim","Curr-Curr","Curr","Curr","Long",65,84,"medProbHealB0",0.206
"87","Sim","Curr-Curr","Curr","Curr","Long",65,84,"probFtGtFmsy",0.1325
"88","Sim","Curr-Curr","Curr","Curr","Long",65,84,"yearAtDepProb",NA
"89","Sim","Curr-Curr","Curr","Curr","Long",65,84,"probAtDepYear",NA
"90","Sim","Curr-Curr","Curr","Curr","Long",65,84,"depAtYearProb",NA
"91","Sim","Curr-Curr","Curr","Curr","Long",65,84,"probGteDmsy",NA
"92","Sim","Curr-Curr","Curr","Curr","Long",65,84,"probGteLimit",NA
"93","Sim","Curr-Curr","Curr","Curr","Long",65,84,"omittedReps",NA
"94","Sim","Curr-Hist","Curr","Hist","Short",65,71,"medAvgDep",0.570273608958413
"95","Sim","Curr-Hist","Curr","Hist","Short",65,71,"Q1AvgDep",0.318997822011947
"96","Sim","Curr-Hist","Curr","Hist","Short",65,71,"Q2AvgDep",0.814926576547611
"97","Sim","Curr-Hist","Curr","Hist","Short",65,71,"medFinalDep",0.708319586389525
"98","Sim","Curr-Hist","Curr","Hist","Short",65,71,"Q1finalDep",0.344719012309275
"99","Sim","Curr-Hist","Curr","Hist","Short",65,71,"Q2finalDep",1.27326767847357
"100","Sim","Curr-Hist","Curr","Hist","Short",65,71,"medLowDep",0.444444439139823
"101","Sim","Curr-Hist","Curr","Hist","Short",65,71,"Q1LowDep",0.214443722278402
"102","Sim","Curr-Hist","Curr","Hist","Short",65,71,"Q2LowDep",0.461202997238507
"103","Sim","Curr-Hist","Curr","Hist","Short",65,71,"medAAV",21.7376123097237
"104","Sim","Curr-Hist","Curr","Hist","Short",65,71,"Q1AAV",17.4648979218999
"105","Sim","Curr-Hist","Curr","Hist","Short",65,71,"Q2AAV",30.9853461387315
"106","Sim","Curr-Hist","Curr","Hist","Short",65,71,"medAvgCatch",7.31855068581384
"107","Sim","Curr-Hist","Curr","Hist","Short",65,71,"Q1AvgCatch",4.89078726726745
"108","Sim","Curr-Hist","Curr","Hist","Short",65,71,"Q2AvgCatch",9.53983850788706
"109","Sim","Curr-Hist","Curr","Hist","Short",65,71,"medLowCatch",4.72755826053314
"110","Sim","Curr-Hist","Curr","Hist","Short",65,71,"Q1LowCatch",1.72526789211881
"111","Sim","Curr-Hist","Curr","Hist","Short",65,71,"Q2LowCatch",6.26761956128608
"112","Sim","Curr-Hist","Curr","Hist","Short",65,71,"medProbCritBmsy",0.0114285714285714
"113","Sim","Curr-Hist","Curr","Hist","Short",65,71,"medProbCautBmsy",0.0528571428571429
"114","Sim","Curr-Hist","Curr","Hist","Short",65,71,"medProbHealBmsy",0.935714285714286
"115","Sim","Curr-Hist","Curr","Hist","Short",65,71,"medProbCritB0",0.797142857142857
"116","Sim","Curr-Hist","Curr","Hist","Short",65,71,"medProbCautB0",0.132857142857143
"117","Sim","Curr-Hist","Curr","Hist","Short",65,71,"medProbHealB0",0.07
"118","Sim","Curr-Hist","Curr","Hist","Short",65,71,"probFtGtFmsy",0.0214285714285714
"119","Sim","Curr-Hist","Curr","Hist","Short",65,71,"yearAtDepProb",NA
"120","Sim","Curr-Hist","Curr","Hist","Short",65,71,"probAtDepYear",NA
"121","Sim","Curr-Hist","Curr","Hist","Short",65,71,"depAtYearProb",NA
"122","Sim","Curr-Hist","Curr","Hist","Short",65,71,"probGteDmsy",NA
"123","Sim","Curr-Hist","Curr","Hist","Short",65,71,"probGteLimit",NA
"124","Sim","Curr-Hist","Curr","Hist","Short",65,71,"omittedReps",NA
"125","Sim","Curr-Hist","Curr","Hist","Medium",72,78,"medAvgDep",0.883750632340491
"126","Sim","Curr-Hist","Curr","Hist","Medium",72,78,"Q1AvgDep",0.409133277449924
"127","Sim","Curr-Hist","Curr","Hist","Medium",72,78,"Q2AvgDep",1.58050165054283
"128","Sim","Curr-Hist","Curr","Hist","Medium",72,78,"medFinalDep",0.729708402459932
"129","Sim","Curr-Hist","Curr","Hist","Medium",72,78,"Q1finalDep",0.2222105056896
"130","Sim","Curr-Hist","Curr","Hist","Medium",72,78,"Q2finalDep",1.6110533944199
"131","Sim","Curr-Hist","Curr","Hist","Medium",72,78,"medLowDep",0.509457830358121
"132","Sim","Curr-Hist","Curr","Hist","Medium",72,78,"Q1LowDep",0.169375351248017
"133","Sim","Curr-Hist","Curr","Hist","Medium",72,78,"Q2LowDep",0.994162180516184
"134","Sim","Curr-Hist","Curr","Hist","Medium",72,78,"medAAV",18.8764964419023
"135","Sim","Curr-Hist","Curr","Hist","Medium",72,78,"Q1AAV",12.3421909699097
"136","Sim","Curr-Hist","Curr","Hist","Medium",72,78,"Q2AAV",32.5723930348822
"137","Sim","Curr-Hist","Curr","Hist","Medium",72,78,"medAvgCatch",13.2967038002347
"138","Sim","Curr-Hist","Curr","Hist","Medium",72,78,"Q1AvgCatch",7.86024087202277
"139","Sim","Curr-Hist","Curr","Hist","Medium",72,78,"Q2AvgCatch",20.4095943117987
"140","Sim","Curr-Hist","Curr","Hist","Medium",72,78,"medLowCatch",8.28341028735605
"141","Sim","Curr-Hist","Curr","Hist","Medium",72,78,"Q1LowCatch",3.51505218977272
"142","Sim","Curr-Hist","Curr","Hist","Medium",72,78,"Q2LowCatch",13.0186212661864
"143","Sim","Curr-Hist","Curr","Hist","Medium",72,78,"medProbCritBmsy",0.00571428571428571
"144","Sim","Curr-Hist","Curr","Hist","Medium",72,78,"medProbCautBmsy",0.0557142857142857
"145","Sim","Curr-Hist","Curr","Hist","Medium",72,78,"medProbHealBmsy",0.938571428571429
"146","Sim","Curr-Hist","Curr","Hist","Medium",72,78,"medProbCritB0",0.378571428571429
"147","Sim","Curr-Hist","Curr","Hist","Medium",72,78,"medProbCautB0",0.227142857142857
"148","Sim","Curr-Hist","Curr","Hist","Medium",72,78,"medProbHealB0",0.394285714285714
"149","Sim","Curr-Hist","Curr","Hist","Medium",72,78,"probFtGtFmsy",0.0785714285714286
"150","Sim","Curr-Hist","Curr","Hist","Medium",72,78,"yearAtDepProb",NA
"151","Sim","Curr-Hist","Curr","Hist","Medium",72,78,"probAtDepYear",NA
"152","Sim","Curr-Hist","Curr","Hist","Medium",72,78,"depAtYearProb",NA
"153","Sim","Curr-Hist","Curr","Hist","Medium",72,78,"probGteDmsy",NA
"154","Sim","Curr-Hist","Curr","Hist","Medium",72,78,"probGteLimit",NA
"155","Sim","Curr-Hist","Curr","Hist","Medium",72,78,"omittedReps",NA
"156","Sim","Curr-Hist","Curr","Hist","Long",65,84,"medAvgDep",0.718269204267429
"157","Sim","Curr-Hist","Curr","Hist","Long",65,84,"Q1AvgDep",0.446319908900009
"158","Sim","Curr-Hist","Curr","Hist","Long",65,84,"Q2AvgDep",0.999739967904352
"159","Sim","Curr-Hist","Curr","Hist","Long",65,84,"medFinalDep",0.520522549258446
"160","Sim","Curr-Hist","Curr","Hist","Long",65,84,"Q1finalDep",0.150848681719972
"161","Sim","Curr-Hist","Curr","Hist","Long",65,84,"Q2finalDep",1.23781593026643
"162","Sim","Curr-Hist","Curr","Hist","Long",65,84,"medLowDep",0.176876458902093
"163","Sim","Curr-Hist","Curr","Hist","Long",65,84,"Q1LowDep",0.0580317396874293
"164","Sim","Curr-Hist","Curr","Hist","Long",65,84,"Q2LowDep",0.444983604813849
"165","Sim","Curr-Hist","Curr","Hist","Long",65,84,"medAAV",23.5577822839156
"166","Sim","Curr-Hist","Curr","Hist","Long",65,84,"Q1AAV",17.1854297700339
"167","Sim","Curr-Hist","Curr","Hist","Long",65,84,"Q2AAV",32.3700342264513
"168","Sim","Curr-Hist","Curr","Hist","Long",65,84,"medAvgCatch",10.3592644363509
"169","Sim","Curr-Hist","Curr","Hist","Long",65,84,"Q1AvgCatch",7.5995953688321
"170","Sim","Curr-Hist","Curr","Hist","Long",65,84,"Q2AvgCatch",13.4930486763687
"171","Sim","Curr-Hist","Curr","Hist","Long",65,84,"medLowCatch",3.44450689616718
"172","Sim","Curr-Hist","Curr","Hist","Long",65,84,"Q1LowCatch",0
"173","Sim","Curr-Hist","Curr","Hist","Long",65,84,"Q2LowCatch",5.40848808700516
"174","Sim","Curr-Hist","Curr","Hist","Long",65,84,"medProbCritBmsy",0.036
"175","Sim","Curr-Hist","Curr","Hist","Long",65,84,"medProbCautBmsy",0.0965
"176","Sim","Curr-Hist","Curr","Hist","Long",65,84,"medProbHealBmsy",0.8675
"177","Sim","Curr-Hist","Curr","Hist","Long",65,84,"medProbCritB0",0.6035
"178","Sim","Curr-Hist","Curr","Hist","Long",65,84,"medProbCautB0",0.1665
"179","Sim","Curr-Hist","Curr","Hist","Long",65,84,"medProbHealB0",0.23
"180","Sim","Curr-Hist","Curr","Hist","Long",65,84,"probFtGtFmsy",0.1075
"181","Sim","Curr-Hist","Curr","Hist","Long",65,84,"yearAtDepProb",NA
"182","Sim","Curr-Hist","Curr","Hist","Long",65,84,"probAtDepYear",NA
"183","Sim","Curr-Hist","Curr","Hist","Long",65,84,"depAtYearProb",NA
"184","Sim","Curr-Hist","Curr","Hist","Long",65,84,"probGteDmsy",NA
"185","Sim","Curr-Hist","Curr","Hist","Long",65,84,"probGteLimit",NA
"186","Sim","Curr-Hist","Curr","Hist","Long",65,84,"omittedReps",NA
"187","Sim","Curr-ccRule","Curr","ccRule","Short",65,71,"medAvgDep",0.735370913092768
"188","Sim","Curr-ccRule","Curr","ccRule","Short",65,71,"Q1AvgDep",0.439628593925344
"189","Sim","Curr-ccRule","Curr","ccRule","Short",65,71,"Q2AvgDep",0.993925712858447
"190","Sim","Curr-ccRule","Curr","ccRule","Short",65,71,"medFinalDep",1.05463953554357
"191","Sim","Curr-ccRule","Curr","ccRule","Short",65,71,"Q1finalDep",0.565614268219923
"192","Sim","Curr-ccRule","Curr","ccRule","Short",65,71,"Q2finalDep",1.62744798839189
"193","Sim","Curr-ccRule","Curr","ccRule","Short",65,71,"medLowDep",0.45120155977396
"194","Sim","Curr-ccRule","Curr","ccRule","Short",65,71,"Q1LowDep",0.298310230552675
"195","Sim","Curr-ccRule","Curr","ccRule","Short",65,71,"Q2LowDep",0.461202997238507
"196","Sim","Curr-ccRule","Curr","ccRule","Short",65,71,"medAAV",36.0429346271924
"197","Sim","Curr-ccRule","Curr","ccRule","Short",65,71,"Q1AAV",22.0441279907369
"198","Sim","Curr-ccRule","Curr","ccRule","Short",65,71,"Q2AAV",54.6524135163248
"199","Sim","Curr-ccRule","Curr","ccRule","Short",65,71,"medAvgCatch",3.03410873803627
"200","Sim","Curr-ccRule","Curr","ccRule","Short",65,71,"Q1AvgCatch",1.66807122043308
"201","Sim","Curr-ccRule","Curr","ccRule","Short",65,71,"Q2AvgCatch",4.29281018572411
"202","Sim","Curr-ccRule","Curr","ccRule","Short",65,71,"medLowCatch",1.34367903511358
"203","Sim","Curr-ccRule","Curr","ccRule","Short",65,71,"Q1LowCatch",0.90481011748762
"204","Sim","Curr-ccRule","Curr","ccRule","Short",65,71,"Q2LowCatch",1.83437782269508
"205","Sim","Curr-ccRule","Curr","ccRule","Short",65,71,"medProbCritBmsy",0
"206","Sim","Curr-ccRule","Curr","ccRule","Short",65,71,"medProbCautBmsy",0.0157142857142857
"207","Sim","Curr-ccRule","Curr","ccRule","Short",65,71,"medProbHealBmsy",0.984285714285714
"208","Sim","Curr-ccRule","Curr","ccRule","Short",65,71,"medProbCritB0",0.587142857142857
"209","Sim","Curr-ccRule","Curr","ccRule","Short",65,71,"medProbCautB0",0.237142857142857
"210","Sim","Curr-ccRule","Curr","ccRule","Short",65,71,"medProbHealB0",0.175714285714286
"211","Sim","Curr-ccRule","Curr","ccRule","Short",65,71,"probFtGtFmsy",0
"212","Sim","Curr-ccRule","Curr","ccRule","Short",65,71,"yearAtDepProb",NA
"213","Sim","Curr-ccRule","Curr","ccRule","Short",65,71,"probAtDepYear",NA
"214","Sim","Curr-ccRule","Curr","ccRule","Short",65,71,"depAtYearProb",NA
"215","Sim","Curr-ccRule","Curr","ccRule","Short",65,71,"probGteDmsy",NA
"216","Sim","Curr-ccRule","Curr","ccRule","Short",65,71,"probGteLimit",NA
"217","Sim","Curr-ccRule","Curr","ccRule","Short",65,71,"omittedReps",NA
"218","Sim","Curr-ccRule","Curr","ccRule","Medium",72,78,"medAvgDep",1.39521919975109
"219","Sim","Curr-ccRule","Curr","ccRule","Medium",72,78,"Q1AvgDep",0.85022409502032
"220","Sim","Curr-ccRule","Curr","ccRule","Medium",72,78,"Q2AvgDep",2.04969618925948
"221","Sim","Curr-ccRule","Curr","ccRule","Medium",72,78,"medFinalDep",1.23355417003228
"222","Sim","Curr-ccRule","Curr","ccRule","Medium",72,78,"Q1finalDep",0.58074006650929
"223","Sim","Curr-ccRule","Curr","ccRule","Medium",72,78,"Q2finalDep",2.19141107849346
"224","Sim","Curr-ccRule","Curr","ccRule","Medium",72,78,"medLowDep",0.943793040723772
"225","Sim","Curr-ccRule","Curr","ccRule","Medium",72,78,"Q1LowDep",0.432937300522949
"226","Sim","Curr-ccRule","Curr","ccRule","Medium",72,78,"Q2LowDep",1.38197911694642
"227","Sim","Curr-ccRule","Curr","ccRule","Medium",72,78,"medAAV",37.9601758484861
"228","Sim","Curr-ccRule","Curr","ccRule","Medium",72,78,"Q1AAV",25.1207474512146
"229","Sim","Curr-ccRule","Curr","ccRule","Medium",72,78,"Q2AAV",58.1444276096268
"230","Sim","Curr-ccRule","Curr","ccRule","Medium",72,78,"medAvgCatch",6.2226057793986
"231","Sim","Curr-ccRule","Curr","ccRule","Medium",72,78,"Q1AvgCatch",3.87330868924414
"232","Sim","Curr-ccRule","Curr","ccRule","Medium",72,78,"Q2AvgCatch",10.1065481599236
"233","Sim","Curr-ccRule","Curr","ccRule","Medium",72,78,"medLowCatch",3.16542140444707
"234","Sim","Curr-ccRule","Curr","ccRule","Medium",72,78,"Q1LowCatch",0
"235","Sim","Curr-ccRule","Curr","ccRule","Medium",72,78,"Q2LowCatch",5.35791579556274
"236","Sim","Curr-ccRule","Curr","ccRule","Medium",72,78,"medProbCritBmsy",0
"237","Sim","Curr-ccRule","Curr","ccRule","Medium",72,78,"medProbCautBmsy",0.00142857142857143
"238","Sim","Curr-ccRule","Curr","ccRule","Medium",72,78,"medProbHealBmsy",0.998571428571429
"239","Sim","Curr-ccRule","Curr","ccRule","Medium",72,78,"medProbCritB0",0.125714285714286
"240","Sim","Curr-ccRule","Curr","ccRule","Medium",72,78,"medProbCautB0",0.105714285714286
"241","Sim","Curr-ccRule","Curr","ccRule","Medium",72,78,"medProbHealB0",0.768571428571429
"242","Sim","Curr-ccRule","Curr","ccRule","Medium",72,78,"probFtGtFmsy",0
"243","Sim","Curr-ccRule","Curr","ccRule","Medium",72,78,"yearAtDepProb",NA
"244","Sim","Curr-ccRule","Curr","ccRule","Medium",72,78,"probAtDepYear",NA
"245","Sim","Curr-ccRule","Curr","ccRule","Medium",72,78,"depAtYearProb",NA
"246","Sim","Curr-ccRule","Curr","ccRule","Medium",72,78,"probGteDmsy",NA
"247","Sim","Curr-ccRule","Curr","ccRule","Medium",72,78,"probGteLimit",NA
"248","Sim","Curr-ccRule","Curr","ccRule","Medium",72,78,"omittedReps",NA
"249","Sim","Curr-ccRule","Curr","ccRule","Long",65,84,"medAvgDep",1.04706681796921
"250","Sim","Curr-ccRule","Curr","ccRule","Long",65,84,"Q1AvgDep",0.743653786152253
"251","Sim","Curr-ccRule","Curr","ccRule","Long",65,84,"Q2AvgDep",1.38835256485133
"252","Sim","Curr-ccRule","Curr","ccRule","Long",65,84,"medFinalDep",0.866023360333418
"253","Sim","Curr-ccRule","Curr","ccRule","Long",65,84,"Q1finalDep",0.383163097455815
"254","Sim","Curr-ccRule","Curr","ccRule","Long",65,84,"Q2finalDep",1.73740689293971
"255","Sim","Curr-ccRule","Curr","ccRule","Long",65,84,"medLowDep",0.40742290280537
"256","Sim","Curr-ccRule","Curr","ccRule","Long",65,84,"Q1LowDep",0.25513999979844
"257","Sim","Curr-ccRule","Curr","ccRule","Long",65,84,"Q2LowDep",0.451848056616466
"258","Sim","Curr-ccRule","Curr","ccRule","Long",65,84,"medAAV",46.0157525204988
"259","Sim","Curr-ccRule","Curr","ccRule","Long",65,84,"Q1AAV",36.8492778398612
"260","Sim","Curr-ccRule","Curr","ccRule","Long",65,84,"Q2AAV",58.7891723068888
"261","Sim","Curr-ccRule","Curr","ccRule","Long",65,84,"medAvgCatch",4.73721717597825
"262","Sim","Curr-ccRule","Curr","ccRule","Long",65,84,"Q1AvgCatch",3.37737975231531
"263","Sim","Curr-ccRule","Curr","ccRule","Long",65,84,"Q2AvgCatch",6.10788649244272
"264","Sim","Curr-ccRule","Curr","ccRule","Long",65,84,"medLowCatch",0
"265","Sim","Curr-ccRule","Curr","ccRule","Long",65,84,"Q1LowCatch",0
"266","Sim","Curr-ccRule","Curr","ccRule","Long",65,84,"Q2LowCatch",1.05578012147578
"267","Sim","Curr-ccRule","Curr","ccRule","Long",65,84,"medProbCritBmsy",0
"268","Sim","Curr-ccRule","Curr","ccRule","Long",65,84,"medProbCautBmsy",0.0115
"269","Sim","Curr-ccRule","Curr","ccRule","Long",65,84,"medProbHealBmsy",0.9885
"270","Sim","Curr-ccRule","Curr","ccRule","Long",65,84,"medProbCritB0",0.3655
"271","Sim","Curr-ccRule","Curr","ccRule","Long",65,84,"medProbCautB0",0.1785
"272","Sim","Curr-ccRule","Curr","ccRule","Long",65,84,"medProbHealB0",0.456
"273","Sim","Curr-ccRule","Curr","ccRule","Long",65,84,"probFtGtFmsy",0
"274","Sim","Curr-ccRule","Curr","ccRule","Long",65,84,"yearAtDepProb",NA
"275","Sim","Curr-ccRule","Curr","ccRule","Long",65,84,"probAtDepYear",NA
"276","Sim","Curr-ccRule","Curr","ccRule","Long",65,84,"depAtYearProb",NA
"277","Sim","Curr-ccRule","Curr","ccRule","Long",65,84,"probGteDmsy",NA
"278","Sim","Curr-ccRule","Curr","ccRule","Long",65,84,"probGteLimit",NA
