year,omegat,Ft,Mt,alphat,rhot,initN
1,0,0.578538,0.473783,15.58317043,0.45275549,0.614279804
2,0,0.75259,0.456777,8.744932664,0.710091675,1.76167128
3,1.26478,0.020983,0.436085,13.50483791,0.530011987,2.709807303
4,-0.434919,0.550539,0.406898,12.84983247,0.547613326,0.884110137
5,-0.352864,0.242174,0.369825,11.58898775,0.59594502,0.271509789
6,0.0965034,1.42447,0.329526,15.68486811,0.439069235,0.327989438
7,0.151983,1.40113,0.292547,13.56237892,0.523461096,0.392642005
8,0.628596,0.49489,0.265549,9.489651864,0.675476405,0.453019152
9,-0.600467,0.985403,0.253491,5.639277073,0.816938898,1.026177635
10,0.276872,0.157186,0.258815,7.469229995,0.749394481,NA
11,0.71938,0.982254,0.283832,16.97655686,0.37088099,NA
12,0.484895,0.377491,0.331515,15.06203711,0.463021202,NA
13,0.434368,1.10574,0.403772,11.82958927,0.589455531,NA
14,-0.16965,1.26028,0.496065,12.07145563,0.577197621,NA
15,-0.777507,0.915221,0.594363,24.50372165,0.154081518,NA
16,1.71175,4.26695,0.67799,11.26507817,0.608936439,NA
17,-0.49502,1.34926,0.726036,11.26507817,0.608936439,NA
18,-0.304194,0.12071,0.726977,11.26507817,0.608936439,NA
19,0.39796,0,0.684755,11.26507817,0.608936439,NA
20,0.267178,0.00971592,0.61596,7.417625073,0.770846865,NA
21,0.130671,0.122532,0.538318,12.21875037,0.600894206,NA
22,0.153699,0.38591,0.464617,7.400252625,0.770276785,NA
23,-0.0989271,0.340109,0.402204,11.01317816,0.649719892,NA
24,-0.0578405,0.650181,0.354364,9.586914302,0.698228383,NA
25,-0.778705,0.528032,0.32217,9.242984044,0.714339604,NA
26,-0.993517,0.622448,0.305786,7.679499274,0.764545408,NA
27,-0.722511,0.586406,0.304729,7.010172748,0.792981703,NA
28,-0.886465,1.0032,0.318514,5.864510291,0.839499985,NA
29,1.34875,0.00015347,0.346503,8.996830576,0.718987238,NA
30,0.267079,0.0420146,0.386705,4.668801987,0.871029614,NA
31,0.165732,0.133921,0.433526,5.346671618,0.844412576,NA
32,-0.675211,0.156758,0.47759,3.977864298,0.892448571,NA
33,-0.810866,0.129832,0.509324,5.913690528,0.813140049,NA
34,0.220191,0.213879,0.521974,5.333929074,0.831597443,NA
35,-0.47148,0.180793,0.514228,7.800622324,0.751669703,NA
36,-0.080154,0.129255,0.490879,8.120468592,0.739328213,NA
37,1.1747,0.126507,0.460948,9.51649112,0.697768146,NA
38,-0.861154,0.126913,0.432328,9.645344531,0.693571336,NA
39,-1.15631,0.274245,0.409313,7.393200458,0.766581846,NA
40,-0.269399,0.234241,0.393461,7.124971898,0.775598937,NA
41,1.02609,0.251915,0.384416,6.289074507,0.807794125,NA
42,-0.476897,0.209747,0.380306,4.978475424,0.852004373,NA
43,-0.26027,0.258071,0.378155,6.18121593,0.798293535,NA
44,-1.51839,0.281507,0.375865,7.415581883,0.754793477,NA
45,-0.535296,0.270354,0.372815,9.830857028,0.659705961,NA
46,0.727137,0.13908,0.369816,9.9773261,0.656934085,NA
47,0.73526,0.107516,0.369053,6.158363142,0.796401759,NA
48,-0.568348,0.199525,0.374143,5.254989509,0.831834265,NA
49,-0.0226245,0.182847,0.38955,6.940852722,0.765715734,NA
50,-0.77825,0.1618,0.418974,4.392204987,0.868364542,NA
51,0.0357728,0.155268,0.465415,7.238482409,0.756069639,NA
52,0.889731,0.108608,0.530707,8.170173017,0.713812367,NA
53,-0.0467052,0.0813807,0.613717,5.326188472,0.827433613,NA
54,0.84511,0.0873686,0.706974,7.199896675,0.746921234,NA
55,-0.170209,0.140031,0.79643,5.948935724,0.799003173,NA
56,0.330012,0.160512,0.866008,6.878998873,0.757612049,NA
57,-0.491089,0.0288504,0.902237,6.300912873,0.773556684,NA
58,1.05909,0.108608,0.899098,6.300912873,0.773556684,NA
59,-0.0283383,0.0813807,0.860434,6.300912873,0.773556684,NA
60,0.676452,0.0873686,0.798084,6.300912873,0.773556684,NA
61,-0.668466,0.140031,0.724569,6.300912873,0.773556684,NA
62,0.631698,0.160512,0.649067,6.300912873,0.773556684,NA
63,-0.427145,0.0288504,0.577228,6.300912873,0.773556684,NA
64,0.682432,0.0981474,0.511809,6.300912873,0.773556684,NA